app,method,path,legacy_declarations,go_route_evidence,php_handler,client_consumers,response_evidence,scope_evidence
dashboard,DELETE,/autoTag/destroy,web/legacy/dashboard/src/api/autoTag.js,internal/server/server.go,-,web/legacy/dashboard/src/views/autoTag/dayPartIndex.vue;web/legacy/dashboard/src/views/autoTag/joinRoomIndex.vue;web/legacy/dashboard/src/views/autoTag/keywordIndex.vue,internal/server/server.go,internal/server/server.go
dashboard,DELETE,/contactBatchAdd/destroy,web/legacy/dashboard/src/api/contactBatchAdd.js,internal/server/server.go,-,-,internal/server/server.go,internal/server/server.go
dashboard,DELETE,/contactBatchAdd/importDestroy,web/legacy/dashboard/src/api/contactBatchAdd.js,internal/server/server.go,-,-,internal/server/server.go,internal/server/server.go
dashboard,DELETE,/contactField/destroy,web/legacy/dashboard/src/api/contactField.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Field/Destroy.php#L40,web/legacy/dashboard/src/views/contactField/index.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Field/Destroy.php#L40,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Field/Destroy.php#L40
dashboard,DELETE,/contactMessageBatchSend/destroy,web/legacy/dashboard/src/api/contactMessageBatchSend.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/Destroy.php#L43,web/legacy/dashboard/src/views/contactMessageBatchSend/index.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/Destroy.php#L43,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/Destroy.php#L43
dashboard,DELETE,/contactSop/destroy,web/legacy/dashboard/src/api/contactSop.js,internal/server/server.go,-,-,internal/server/server.go,internal/server/server.go
dashboard,DELETE,/greeting/destroy,web/legacy/dashboard/src/api/greeting.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/greeting/src/Action/Dashboard/Destroy.php#L50,web/legacy/dashboard/src/views/greeting/index.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/greeting/src/Action/Dashboard/Destroy.php#L50,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/greeting/src/Action/Dashboard/Destroy.php#L50
dashboard,DELETE,/lottery/destroy,web/legacy/dashboard/src/api/lottery.js,internal/server/server.go,-,-,internal/server/server.go,internal/server/server.go
dashboard,DELETE,/medium/destroy,web/legacy/dashboard/src/api/mediumGroup.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Destroy.php#L40,web/legacy/dashboard/src/views/mediumGroup/index.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Destroy.php#L40,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Destroy.php#L40
dashboard,DELETE,/mediumGroup/destroy,web/legacy/dashboard/src/api/mediumGroup.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Group/Destroy.php#L37,web/legacy/dashboard/src/views/mediumGroup/index.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Group/Destroy.php#L37,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Group/Destroy.php#L37
dashboard,DELETE,/radar/destroy,web/legacy/dashboard/src/api/radar.js,internal/server/server.go,-,-,internal/server/server.go,internal/server/server.go
