app,method,path,dimension,reason,evidence
dashboard,DELETE,/autoTag/destroy,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,DELETE,/autoTag/destroy,response,no-static-response-fields,internal/server/server.go
dashboard,DELETE,/contactBatchAdd/destroy,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,DELETE,/contactBatchAdd/destroy,response,no-static-response-fields,internal/server/server.go
dashboard,DELETE,/contactBatchAdd/importDestroy,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,DELETE,/contactBatchAdd/importDestroy,response,no-static-response-fields,internal/server/server.go
dashboard,DELETE,/contactField/destroy,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Field/Destroy.php#L40
dashboard,DELETE,/contactMessageBatchSend/destroy,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/Destroy.php#L43
dashboard,DELETE,/contactSop/destroy,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,DELETE,/contactSop/destroy,response,no-static-response-fields,internal/server/server.go
dashboard,DELETE,/lottery/destroy,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,DELETE,/lottery/destroy,response,no-static-response-fields,internal/server/server.go
dashboard,DELETE,/medium/destroy,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Destroy.php#L40
dashboard,DELETE,/mediumGroup/destroy,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Group/Destroy.php#L37
dashboard,DELETE,/radar/destroy,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,DELETE,/radar/destroy,response,no-static-response-fields,internal/server/server.go
dashboard,DELETE,/roomCalendar/destroy,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,DELETE,/roomCalendar/destroy,response,no-static-response-fields,internal/server/server.go
dashboard,DELETE,/roomCalendar/destroyRoom,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,DELETE,/roomCalendar/destroyRoom,response,no-static-response-fields,internal/server/server.go
dashboard,DELETE,/roomClockIn/destroy,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,DELETE,/roomClockIn/destroy,response,no-static-response-fields,internal/server/server.go
dashboard,DELETE,/roomFission/destroy,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,DELETE,/roomFission/destroy,response,no-static-response-fields,internal/server/server.go
dashboard,DELETE,/roomInfinitePull/destroy,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,DELETE,/roomInfinitePull/destroy,response,no-static-response-fields,internal/server/server.go
dashboard,DELETE,/roomMessageBatchSend/destroy,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-message-batch-send/src/Action/Dashboard/Destroy.php#L43
dashboard,DELETE,/roomQuality/destroy,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,DELETE,/roomQuality/destroy,response,no-static-response-fields,internal/server/server.go
dashboard,DELETE,/roomRemind/destroy,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,DELETE,/roomRemind/destroy,response,no-static-response-fields,internal/server/server.go
dashboard,DELETE,/roomSop/destroy,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,DELETE,/roomSop/destroy,response,no-static-response-fields,internal/server/server.go
dashboard,DELETE,/sensitiveWord/destroy,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,DELETE,/sensitiveWord/destroy,response,no-static-response-fields,internal/server/server.go
dashboard,DELETE,/shopCode/destroy,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,DELETE,/shopCode/destroy,response,no-static-response-fields,internal/server/server.go
dashboard,DELETE,/workContactTag/destroy,response,no-static-response-fields,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Tag/Destroy.php#L53
dashboard,DELETE,/workContactTagGroup/destroy,response,no-static-response-fields,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/TagGroup/Destroy.php#L66
dashboard,DELETE,/workRoomGroup/destroy,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-room/src/Action/Dashboard/Group/Destroy.php#L60
dashboard,DELETE,menu/destroy,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/rbac/src/Action/Dashboard/Menu/Destroy.php#L46
dashboard,GET,/autoTag/index,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/autoTag/show,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/autoTag/showContactKeyWord,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/autoTag/showContactRoom,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/autoTag/showContactTime,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/channelCode/contact,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Contact.php#L44
dashboard,GET,/channelCode/index,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Index.php#L42
dashboard,GET,/channelCode/show,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Show.php#L45
dashboard,GET,/channelCode/statistics,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Statistics.php#L45
dashboard,GET,/channelCode/statisticsIndex,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/StatisticsIndex.php#L45
dashboard,GET,/channelCodeGroup/index,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Group/Index.php#L40
dashboard,GET,/chatTool/config,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/chat-tool/src/Action/Dashboard/Index.php#L89
dashboard,GET,/clockIn/index,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/clockIn/index,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/contactBatchAdd/dataStatistic,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/contactBatchAdd/dataStatistic,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/contactBatchAdd/importIndex,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/contactBatchAdd/importIndex,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/contactBatchAdd/index,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/contactBatchAdd/index,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/contactBatchAdd/remind,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/contactBatchAdd/remind,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/contactBatchAdd/settingEdit,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/contactBatchAdd/settingEdit,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/contactField/index,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Field/Index.php#L39
dashboard,GET,/contactField/portrait,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Field/Portrait.php#L42
dashboard,GET,/contactField/portrait,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Field/Portrait.php#L42
dashboard,GET,/contactFieldPivot/index,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/FieldPivot/Index.php#L54
dashboard,GET,/contactFieldPivot/index,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/FieldPivot/Index.php#L54
dashboard,GET,/contactMessageBatchSend/contactReceiveIndex,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/ContactReceiveIndex.php#L43
dashboard,GET,/contactMessageBatchSend/employeeSendIndex,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/EmployeeSendIndex.php#L43
dashboard,GET,/contactMessageBatchSend/index,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/Index.php#L43
dashboard,GET,/contactMessageBatchSend/messageShow,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/contactMessageBatchSend/messageShow,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/contactMessageBatchSend/show,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/Show.php#L43
dashboard,GET,/contactMessageBatchSend/show,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/Show.php#L43
dashboard,GET,/contactMessageBatchSend/showRoom,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/ShowRoom.php#L64
dashboard,GET,/contactMessageBatchSend/showRoom,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/ShowRoom.php#L64
dashboard,GET,/contactSop/index,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/contactSop/index,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/contactSop/info,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/contactSop/info,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/contactTransfer/info,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/Info.php#L52
dashboard,GET,/contactTransfer/log,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/Log.php#L53
dashboard,GET,/contactTransfer/room,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/Room.php#L53
dashboard,GET,/corp/select,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/corp/src/Action/Dashboard/Select.php#L50
dashboard,GET,/corp/select,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/corp/src/Action/Dashboard/Select.php#L50
dashboard,GET,/corp/show,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/corp/src/Action/Dashboard/Show.php#L43
dashboard,GET,/corpData/lineChat,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/index/src/Action/Dashboard/LineChat.php#L42
dashboard,GET,/external/tenantIndex,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/greeting/index,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/greeting/src/Action/Dashboard/Index.php#L41
dashboard,GET,/greeting/show,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/greeting/src/Action/Dashboard/Show.php#L57
dashboard,GET,/lottery/index,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/lottery/index,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/lottery/info,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/lottery/info,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/lottery/share,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/lottery/share,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/lottery/show,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/lottery/show,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/lottery/writeOff,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/lottery/writeOff,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/medium/index,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Index.php#L43
dashboard,GET,/medium/show,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Show.php#L38
dashboard,GET,/medium/show,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Show.php#L38
