app,method,path,source_file,request_fields,response_fields,auth,corp_scope,go_evidence
dashboard,DELETE,/autoTag/destroy,web/legacy/dashboard/src/api/autoTag.js,data:id,blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,DELETE,/contactBatchAdd/destroy,web/legacy/dashboard/src/api/contactBatchAdd.js,data:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,DELETE,/contactBatchAdd/importDestroy,web/legacy/dashboard/src/api/contactBatchAdd.js,data:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,DELETE,/contactField/destroy,web/legacy/dashboard/src/api/contactField.js,data:id,fields:none,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Field/Destroy.php#L40,internal/server/server.go
dashboard,DELETE,/contactMessageBatchSend/destroy,web/legacy/dashboard/src/api/contactMessageBatchSend.js,data:batchId,fields:none,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/Destroy.php#L43,internal/server/server.go
dashboard,DELETE,/contactSop/destroy,web/legacy/dashboard/src/api/contactSop.js,data:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,DELETE,/greeting/destroy,web/legacy/dashboard/src/api/greeting.js,data:greetingId,fields:none,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/greeting/src/Action/Dashboard/Destroy.php#L50,internal/server/server.go
dashboard,DELETE,/lottery/destroy,web/legacy/dashboard/src/api/lottery.js,data:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,DELETE,/medium/destroy,web/legacy/dashboard/src/api/mediumGroup.js,data:id,fields:none,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Destroy.php#L40,internal/server/server.go
dashboard,DELETE,/mediumGroup/destroy,web/legacy/dashboard/src/api/mediumGroup.js,data:id,fields:none,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Group/Destroy.php#L37,internal/server/server.go
dashboard,DELETE,/radar/destroy,web/legacy/dashboard/src/api/radar.js,data:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,DELETE,/role/destroy,web/legacy/dashboard/src/api/role.js,data:roleId,fields:none,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/rbac/src/Action/Dashboard/Role/Destroy.php#L53,internal/server/server.go
dashboard,DELETE,/roomCalendar/destroy,web/legacy/dashboard/src/api/roomCalendar.js,data:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,DELETE,/roomCalendar/destroyRoom,web/legacy/dashboard/src/api/roomCalendar.js,data:chatid;id,blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,DELETE,/roomClockIn/destroy,web/legacy/dashboard/src/api/roomClockIn.js,data:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,DELETE,/roomFission/destroy,web/legacy/dashboard/src/api/roomFission.js,data:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,DELETE,/roomInfinitePull/destroy,web/legacy/dashboard/src/api/roomInfinitePull.js,data:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,DELETE,/roomMessageBatchSend/destroy,web/legacy/dashboard/src/api/roomMessageBatchSend.js,data:batchId,fields:none,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-message-batch-send/src/Action/Dashboard/Destroy.php#L43,internal/server/server.go
dashboard,DELETE,/roomQuality/destroy,web/legacy/dashboard/src/api/roomQuality.js,data:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,DELETE,/roomRemind/destroy,web/legacy/dashboard/src/api/roomRemind.js,data:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,DELETE,/roomSop/destroy,web/legacy/dashboard/src/api/roomSop.js,data:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,DELETE,/roomTagPull/destroy,web/legacy/dashboard/src/api/workRoom.js,data:id,fields:none,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-tag-pull/src/Action/Dashboard/Destroy.php#L53,internal/server/server.go
dashboard,DELETE,/roomWelcome/destroy,web/legacy/dashboard/src/api/roomWelcome.js,data:id,fields:none,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-welcome/src/Action/Dashboard/Destroy.php#L56,internal/server/server.go
dashboard,DELETE,/sensitiveWord/destroy,web/legacy/dashboard/src/api/sensitiveWords.js,data:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,DELETE,/shopCode/destroy,web/legacy/dashboard/src/api/shopCode.js,data:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,DELETE,/workContactTag/destroy,web/legacy/dashboard/src/api/workContactTag.js,data:tagId,blocked[no-static-response-fields]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Tag/Destroy.php#L53,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Tag/Destroy.php#L53,internal/server/server.go
dashboard,DELETE,/workContactTagGroup/destroy,web/legacy/dashboard/src/api/workContactTag.js,data:groupId,blocked[no-static-response-fields]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/TagGroup/Destroy.php#L66,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/TagGroup/Destroy.php#L66,internal/server/server.go
dashboard,DELETE,/workFission/destroy,web/legacy/dashboard/src/api/workFission.js,data:id,fields:none,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/work-fission/src/Action/Dashboard/Destroy.php#L57,internal/server/server.go
dashboard,DELETE,/workRoomGroup/destroy,web/legacy/dashboard/src/api/workRoom.js,data:workRoomGroupId,fields:none,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-room/src/Action/Dashboard/Group/Destroy.php#L60,internal/server/server.go
dashboard,DELETE,menu/destroy,web/legacy/dashboard/src/api/menu.js,data:menuId,fields:none,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/rbac/src/Action/Dashboard/Menu/Destroy.php#L46,internal/server/server.go
dashboard,GET,/autoTag/index,web/legacy/dashboard/src/api/autoTag.js,params:name;tags;type,fields:list,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/autoTag/show,web/legacy/dashboard/src/api/autoTag.js,params:id,fields:auto_tag;statistics,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
