app,source_file,route,status,risk,batch
dashboard,web/legacy/dashboard/src/router/base/error.js,*,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/router/router.config.js,/,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/autoTag/dayPartCreate.vue,/autoTag/dayPartCreate,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/autoTag/dayPartIndex.vue,/autoTag/dayPartIndex,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/autoTag/dayPartShow.vue,/autoTag/dayPartShow,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/autoTag/joinRoomCreate.vue,/autoTag/joinRoomCreate,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/autoTag/joinRoomIndex.vue,/autoTag/joinRoomIndex,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/autoTag/joinRoomShow.vue,/autoTag/joinRoomShow,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/autoTag/keywordCreate.vue,/autoTag/keywordCreate,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/autoTag/keywordIndex.vue,/autoTag/keywordIndex,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/autoTag/keywordShow.vue,/autoTag/keywordShow,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/channelCode/components/upload.vue,-,react,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/channelCode/components/vpload.vue,-,react,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/channelCode/index.vue,/channelCode/index,react,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/channelCode/statistics.vue,/channelCode/statistics,react,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/channelCode/store.vue,/channelCode/store,react,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/chatTool/components/settingSteps.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/chatTool/customer.vue,/chatTool/customer,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/chatTool/enhance.vue,/chatTool/enhance,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/contactField/index.vue,/contactField/index,react,medium,dashboard-batch2
dashboard,web/legacy/dashboard/src/views/contactMessageBatchSend/index.vue,/contactMessageBatchSend/index,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/contactMessageBatchSend/show.vue,/contactMessageBatchSend/show,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/contactMessageBatchSend/store.vue,/contactMessageBatchSend/store,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/contactSop/components/create/addRule.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/contactTransfer/resignAllotRecord.vue,/contactTransfer/resignAllotRecord,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/contactTransfer/resignIndex.vue,/contactTransfer/resignIndex,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/contactTransfer/workAllotRecord.vue,/contactTransfer/workAllotRecord,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/contactTransfer/workIndex.vue,/contactTransfer/workIndex,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/corp/index.vue,/corp/index,react,medium,phase1-batch1
dashboard,web/legacy/dashboard/src/views/corpData/index.vue,/corpData/index,react,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/department/index.vue,/department/index,react,medium,dashboard-batch2
dashboard,web/legacy/dashboard/src/views/error/404.vue,/404,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/greeting/components/department.vue,-,react,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/greeting/components/upload.vue,-,react,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/greeting/components/vpload.vue,-,react,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/greeting/index.vue,/greeting/index,react,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/greeting/store.vue,/greeting/store,react,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/login/login.vue,/login,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/lossContact/index.vue,/lossContact/index,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/mediumGroup/components/upload.vue,-,react,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/mediumGroup/components/vpload.vue,-,react,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/mediumGroup/index.vue,/mediumGroup/index,react,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/menu/index.vue,/menu/index,react,medium,dashboard-batch2
dashboard,web/legacy/dashboard/src/views/officialAccount/create.vue,/officialAccount/create,react,critical,blocked-external
dashboard,web/legacy/dashboard/src/views/officialAccount/index.vue,/officialAccount/index,react,critical,blocked-external
dashboard,web/legacy/dashboard/src/views/passwordUpdate/index.vue,/passwordUpdate/index,react,medium,dashboard-batch2
dashboard,web/legacy/dashboard/src/views/radar/components/addSourceTitle.vue,-,react,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/radar/components/clickDetails.vue,-,react,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/radar/components/share.vue,-,react,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/role/index.vue,/role/index,react,medium,dashboard-batch2
dashboard,web/legacy/dashboard/src/views/role/permissionShow.vue,/role/permissionShow,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomCalendar/components/group.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomCalendar/components/setCalnder.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomFission/components/create/selectGroup.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomFission/components/create/selectMember.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomFission/components/create/step/step1.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomFission/components/create/step/step2.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomFission/components/create/step/step3.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomFission/components/create/step/step4.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomFission/components/list/details.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomInfinitePull/components/details.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomMessageBatchSend/index.vue,/roomMessageBatchSend/index,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomMessageBatchSend/show.vue,/roomMessageBatchSend/show,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomMessageBatchSend/store.vue,/roomMessageBatchSend/store,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomSop/components/create/addRule.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomSop/components/create/linkInput.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomTagPull/contactDetail.vue,/roomTagPull/contactDetail,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomTagPull/create.vue,/roomTagPull/create,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomTagPull/detail.vue,/roomTagPull/detail,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomTagPull/index.vue,/roomTagPull/index,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomWelcome/components/AddApplets.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomWelcome/components/Details.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomWelcome/create.vue,/roomWelcome/create,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/roomWelcome/index.vue,/roomWelcome/index,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/sensitiveWordsMonitor/components/department.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/statistics/contact.vue,/statistics/contact,react,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/statistics/employee.vue,/statistics/employee,react,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/user/index.vue,/user/index,react,medium,dashboard-batch2
dashboard,web/legacy/dashboard/src/views/workContact/components/department.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workContact/contactFieldPivot.vue,/workContact/contactFieldPivot,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workContact/index.vue,/workContact/index,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workContactTag/index.vue,/workContactTag/index,react,medium,dashboard-batch2
dashboard,web/legacy/dashboard/src/views/workEmployee/index.vue,/workEmployee/index,react,medium,dashboard-batch2
dashboard,web/legacy/dashboard/src/views/workFission/components/create/step/step1.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workFission/components/create/step/step2.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workFission/components/create/step/step3.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workFission/components/create/step/step4.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workFission/components/details.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workFission/components/inviteDetails.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workFission/components/update/step/step1.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workFission/components/update/step/step2.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workFission/components/update/step/step3.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workFission/create.vue,/workFission/create,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workFission/dataShow.vue,/workFission/dataShow,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workFission/edit.vue,/workFission/edit,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workFission/index.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workFission/invite.vue,/workFission/invite,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workFission/taskpage.vue,/workFission/taskpage,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workRoom/detail.vue,/workRoom/detail,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workRoom/index.vue,/workRoom/index,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workRoom/statistics.vue,/workRoom/statistics,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workRoomAutoPull/components/upload.vue,-,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workRoomAutoPull/index.vue,/workRoomAutoPull/index,react,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/workRoomAutoPull/store.vue,/workRoomAutoPull/store,react,high,dashboard-batch4
operation,web/legacy/operation/src/views/index/index.vue,/,react,high,operation
operation,web/legacy/operation/src/views/lottery/explain.vue,/explain,react,high,operation
operation,web/legacy/operation/src/views/lottery/index.vue,/lottery,react,high,operation
operation,web/legacy/operation/src/views/lottery/prize.vue,-,react,high,operation
operation,web/legacy/operation/src/views/roomClockIn/explain.vue,-,react,high,operation
operation,web/legacy/operation/src/views/roomClockIn/index.vue,/roomClockIn,react,high,operation
operation,web/legacy/operation/src/views/roomClockIn/success.vue,-,react,high,operation
operation,web/legacy/operation/src/views/roomFission/fissionIndex.vue,/roomFission,react,high,operation
operation,web/legacy/operation/src/views/roomFission/fissionSpeed.vue,/fissionSpeed,react,high,operation
operation,web/legacy/operation/src/views/roomInfinitePull/roomInfinitePull.vue,/roomInfinitePull,react,high,operation
operation,web/legacy/operation/src/views/shopCode/shopCodeIndex.vue,/shopCode,react,high,operation
operation,web/legacy/operation/src/views/workFission/index.vue,/workFission,react,high,operation
operation,web/legacy/operation/src/views/workFission/speed.vue,/speed,react,high,operation
sidebar,web/legacy/sidebar/src/router/routes.js,/:pathMatch(.*),react,high,sidebar
sidebar,web/legacy/sidebar/src/views/auth/index.vue,/auth,react,high,sidebar
sidebar,web/legacy/sidebar/src/views/codeAuth/index.vue,/codeAuth,react,high,sidebar
