app,source_file,route,status,risk,batch
dashboard,web/legacy/dashboard/src/views/corp/index.vue,/corp/index,react,medium,phase1-batch1
dashboard,web/legacy/dashboard/src/router/base/error.js,*,legacy,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/router/router.config.js,/,legacy,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/autoTag/dayPartCreate.vue,/autoTag/dayPartCreate,legacy,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/autoTag/dayPartIndex.vue,/autoTag/dayPartIndex,legacy,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/autoTag/dayPartShow.vue,/autoTag/dayPartShow,legacy,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/autoTag/joinRoomCreate.vue,/autoTag/joinRoomCreate,legacy,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/autoTag/joinRoomIndex.vue,/autoTag/joinRoomIndex,legacy,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/autoTag/joinRoomShow.vue,/autoTag/joinRoomShow,legacy,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/autoTag/keywordCreate.vue,/autoTag/keywordCreate,legacy,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/autoTag/keywordIndex.vue,/autoTag/keywordIndex,legacy,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/autoTag/keywordShow.vue,/autoTag/keywordShow,legacy,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/channelCode/components/upload.vue,-,legacy,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/channelCode/components/vpload.vue,-,legacy,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/channelCode/index.vue,/channelCode/index,legacy,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/channelCode/statistics.vue,/channelCode/statistics,legacy,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/channelCode/store.vue,/channelCode/store,legacy,high,dashboard-batch3
dashboard,web/legacy/dashboard/src/views/chatTool/components/settingSteps.vue,-,legacy,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/chatTool/customer.vue,/chatTool/customer,legacy,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/chatTool/enhance.vue,/chatTool/enhance,legacy,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/contactField/index.vue,/contactField/index,legacy,medium,dashboard-batch2
dashboard,web/legacy/dashboard/src/views/contactMessageBatchSend/index.vue,/contactMessageBatchSend/index,legacy,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/contactMessageBatchSend/show.vue,/contactMessageBatchSend/show,legacy,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/contactMessageBatchSend/store.vue,/contactMessageBatchSend/store,legacy,high,dashboard-batch4
dashboard,web/legacy/dashboard/src/views/contactSop/components/create/addRule.vue,-,legacy,high,dashboard-batch4
