app,feature,legacy_sources,routes,react_module,go_apis,implementation,read,write,permissions,fake_external,component_tests,browser,evidence,rowNumber
dashboard,auto-tag,web/legacy/dashboard/src/views/autoTag,/autoTag/dayPartCreate;/autoTag/dayPartIndex;/autoTag/dayPartShow;/autoTag/joinRoomCreate;/autoTag/joinRoomIndex;/autoTag/joinRoomShow;/autoTag/keywordCreate;/autoTag/keywordIndex;/autoTag/keywordShow,web/apps/dashboard/src/features/business-workbench/catalog.ts,/dashboard/autoTag/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,2
dashboard,channel-code,web/legacy/dashboard/src/views/channelCode,/channelCode/index;/channelCode/statistics;/channelCode/store,web/apps/dashboard/src/features/business-workbench/catalog.ts,/dashboard/channelCode/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,3
dashboard,chat-tool,web/legacy/dashboard/src/views/chatTool,/chatTool/customer;/chatTool/enhance,web/apps/dashboard/src/features/business-workbench/catalog.ts,/dashboard/chatTool/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,4
dashboard,contact-field,web/legacy/dashboard/src/views/contactField/index.vue,/contactField/index,web/apps/dashboard/src/features/contact-field/contact-field-page.tsx,/dashboard/contactField/*,functional,passed,passed,passed,not-applicable:no external platform,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,5
dashboard,contact-message-batch,web/legacy/dashboard/src/views/contactMessageBatchSend,/contactMessageBatchSend/index;/contactMessageBatchSend/show;/contactMessageBatchSend/store,web/apps/dashboard/src/features/business-workbench/catalog.ts,/dashboard/contactMessageBatchSend/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,6
dashboard,contact-transfer,web/legacy/dashboard/src/views/contactTransfer,/contactTransfer/resignAllotRecord;/contactTransfer/resignIndex;/contactTransfer/workAllotRecord;/contactTransfer/workIndex,web/apps/dashboard/src/features/business-workbench/catalog.ts,/dashboard/contactTransfer/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,7
dashboard,company-profile,-,/company-setting/website,web/apps/dashboard/src/features/company-settings/website-page.tsx,/dashboard/company-profile;/dashboard/company-application;/dashboard/company-archive-credentials,functional,passed,passed,passed,not-applicable:no external platform,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,8
dashboard,department,web/legacy/dashboard/src/views/department/index.vue,/department/index,web/apps/dashboard/src/features/department/department-page.tsx,/dashboard/workDepartment/*,functional,passed,passed,passed,not-applicable:no external platform,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,10
dashboard,greeting,web/legacy/dashboard/src/views/greeting,/greeting/index;/greeting/store,web/apps/dashboard/src/features/business-workbench/catalog.ts,/dashboard/greeting/*,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,11
dashboard,loss-contact,web/legacy/dashboard/src/views/lossContact/index.vue,/lossContact/index,web/apps/dashboard/src/features/business-workbench/catalog.ts,/dashboard/workContact/loss,functional,passed,passed,passed,passed,passed,passed,docs/phases/phase-2.1-functional-frontend-migration/evidence/README.md,12
